0	7
1	7
10	6
11	6
12	7
13	8
14	12
15	13
16	7
17	8
18	8
19	12
2	4
20	5
21	5
22	17
23	13
24	12
25	14
26	8
27	9
28	12
29	13
3	7
30	13
31	14
32	13
33	9
34	8
35	9
36	8
37	12
38	12
39	5
4	11
40	15
41	10
42	8
43	7
44	12
45	15
46	15
47	5
48	13
49	8
5	12
50	17
51	11
52	15
53	10
54	6
55	7
56	13
57	15
58	12
59	10
6	9
60	9
61	7
62	5
63	9
64	12
65	12
66	12
67	10
68	12
69	8
7	8
70	11
71	11
72	8
73	10
74	5
75	12
76	20
77	10
78	10
79	9
8	10
80	10
81	11
82	11
83	9
84	8
85	10
86	14
87	6
88	8
89	9
9	9
90	7
91	6
92	10
93	8
94	11
95	4
96	15
97	9
98	13
99	13
